Year,Name,State_Code,State,Start_Date,Contain_Date,Acres,Cause,Estimated_Cost,,,,
2012,Alpine Lake,WY,Wyoming,8/9/2012,10/25/2012,45877.00,L,3850000.00,,,,
2013,,WY,Wyoming,,,45696.50,,5058964.00,,,,
2006,Charleston Complex,NV,Nevada,8/15/2006,8/31/2006,190421.00,L,0.00,,,,
2006,Happy Valley,OR,Oregon,7/22/2006,7/28/2006,68393.00,L,995000.00,,,,
2006,Sheep,NV,Nevada,9/3/2006,9/17/2006,150270.00,L,0.00,,,,
2006,Foster Gulch Complex,OR,Oregon,7/23/2006,11/9/2006,53636.00,L,6900000.00,,,,
2006,Sailor Cap,ID,Idaho,8/23/2006,8/30/2006,61929.00,H,0.00,,,,
2006,Amazon,NV,Nevada,9/3/2006,9/17/2006,108564.00,L,0.00,,,,
2006,Buckle L 2,TX,Texas,3/12/2006,3/20/2006,40000.00,NR,0.00,,,,
2011,Bear Springs Callie Marie,CO,Colorado,6/5/2011,6/21/2011,44662.00,L,2500000.00,,,,
2006,,SD,South Dakota,,,,,,,,,
2007,Monument Complex,OR,Oregon,7/13/2007,8/6/2007,54000.00,L,11600000.00,,,,
2006,South Fork Complex,ID,Idaho,8/8/2006,11/30/2006,52690.00,L,0.00,,,,
2012,High Park,CO,Colorado,6/9/2012,7/11/2012,87284.00,L,38400000.00,,,,
2006,McDonald,NM,New Mexico,3/12/2006,3/16/2006,92390.00,H,150000.00,,,,
2007,Harris,CA,California,10/21/2007,11/10/2007,90440.00,U,21000000.00,,,,
2007,Moonlight,CA,California,9/3/2007,9/25/2007,64997.00,U,34000000.00,,,,
2007,Irish Spring,OR,Oregon,8/17/2007,8/31/2007,47936.00,U,5500000.00,,,,
2009,Tonclonukna Creek,AK,Alaska,5/23/2009,7/22/2009,164318.00,L,2969556.00,,,,
2006,Bear,NM,New Mexico,6/19/2006,7/4/2006,51307.00,U,7000000.00,,,,
2012,Last Chance,CO,Colorado,6/25/2012,6/26/2012,45000.00,U,10000.00,,,,
2007,Wantoma,WA,Washington,8/16/2007,8/21/2007,69000.00,U,750000.00,,,,
2014,,WY,Wyoming,,,45606.25,,5663446.00,,,,
2006,,GA,Georgia,,,,,,,,,
2007,,AZ,Arizona,,,,,,,,,
2008,Klamath Theater,CA,California,6/21/2008,9/26/2008,192038.00,L,126086065.00,,,,
2007,Horse Heaven Complex,WA,Washington,7/13/2007,7/14/2007,57400.00,L,0.00,,,,
2006,Derby Fire,MT,Montana,8/22/2006,11/6/2006,223570.00,L,23000000.00,,,,
2007,,CO,Colorado,,,,,,,,,
2007,Egley Complex,OR,Oregon,7/6/2007,9/6/2007,140359.00,L,16648047.00,,,,
2006,Black Pulaski Complex,MT,Montana,7/16/2006,7/23/2006,124905.00,L,3200000.00,,,,
2006,Winters,NV,Nevada,7/25/2006,8/3/2006,238458.00,L,2700000.00,,,,
2007,,SD,South Dakota,,,,,,,,,
2007,,OK,Oklahoma,,,,,,,,,
2007,Big Turnaround Complex,GA,Georgia,4/16/2007,10/1/2007,388017.00,U,29793245.00,,,,
2007,,TX,Texas,,,,,,,,,
2007,Tongue Complex,ID,Idaho,7/6/2007,7/28/2007,46680.00,L,0.00,,,,
2008,Basin Complex,CA,California,6/21/2008,7/29/2008,162818.00,L,78096079.00,,,,
2006,Pine Ridge Complex,MT,Montana,7/12/2006,7/21/2006,121210.00,L,2800000.00,,,,
2007,Red Bridge,ID,Idaho,7/6/2007,7/12/2007,45862.00,H,0.00,,,,
2007,Black Pine 2,ID,Idaho,7/6/2007,9/13/2007,73148.00,L,0.00,,,,
2007,West Basin,NV,Nevada,7/6/2007,7/8/2007,50000.00,L,0.00,,,,
2008,Iron & Alps Complexes,CA,California,6/21/2008,9/4/2008,105805.00,L,73974917.00,,,,
2007,Red Bluff,ID,Idaho,7/17/2007,9/14/2007,62591.00,L,0.00,,,,
2008,Lime Complex,CA,California,6/20/2008,8/30/2008,99585.00,L,59329698.00,,,,
2008,SHU Lightning Complex,CA,California,6/21/2008,7/30/2008,86500.00,L,56438391.00,,,,
2008,Siskiyou / Blue 2 Complex,CA,California,6/21/2008,9/13/2008,82186.00,L,65692836.00,,,,
2009,Big Creek,AK,Alaska,7/18/2009,8/18/2009,169639.00,L,820825.00,,,,
2008,Indians,CA,California,6/8/2008,7/12/2008,76554.00,H,42500000.00,,,,
2006,Bundy Railroad,MT,Montana,7/12/2006,7/23/2006,91897.00,L,2900000.00,,,,
2006,Bull Complex,UT,Utah,6/28/2006,7/8/2006,43571.00,L,4300000.00,,,,
2007,Battle Creek Complex,OR,Oregon,7/14/2007,11/28/2007,84943.00,L,14827982.00,,,,
